Frame Index,Latency (ms),7-Frame Trend (ms),High-Frequency Jitter (ms),System Jitter (ms),Cumulative Drift (ms),Temperature Change (C),Centered Trend Component (ms),GPU Temperature (C),GPU SM Clock (MHz),GPU Utilization (%),GPU Power (W),DVFS Event,DVFS Effect (ms),Spike Event,Spike Effect (ms),Burst Effect (ms)
55,9.231954302106585,9.240117442851163,-0.008163140744578357,-0.009134536609705018,-1.9032197290537027,0.0,-0.06459727429092332,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
56,9.243364606584821,9.234603103326291,0.008761503258529757,0.007790107393403097,-2.0525708879743014,0.0,-0.07011161381579534,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
57,9.26411873953683,9.255375764807876,0.008742974728953357,0.007771578863826696,-2.181149385413315,0.0,-0.04933895233421026,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
58,9.227693830217634,9.266558744469467,-0.03886491425183358,-0.03983631011696024,-2.298544903190738,0.0,-0.0381559726726195,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
59,9.217006138392858,9.26517035036671,-0.04816421197385168,-0.049135607838978336,-2.4173288150709187,0.0,-0.039544366775377426,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
60,9.390784127371651,9.26861977090641,0.12216435646524104,0.12119296060011438,-2.532663306411399,0.0,-0.03609494623567677,31.0,2850.0,18.0,118.79,1,0.12216435646524104,0,0.0,0.0
61,9.290989467075892,9.265627491230868,0.02536197584502453,0.02439057997989787,-2.650990077427421,0.0,-0.03908722591121894,31.0,2850.0,18.0,118.79,1,0.02536197584502453,0,0.0,0.0
62,9.222235543387276,9.265161163952886,-0.04292562056560989,-0.04389701643073655,-2.7697831757214253,0.0,-0.03955355318920084,31.0,2850.0,18.0,118.79,1,-0.04292562056560989,0,0.0,0.0
63,9.267510550362724,9.265222510512995,0.002288039849728918,0.0013166439846022575,-2.8885149274553203,0.0,-0.0394922066290917,31.0,2850.0,18.0,118.79,1,0.002288039849728918,0,0.0,0.0
64,9.243172781808036,9.241893846161512,0.0012789356465248147,0.0003075397813981543,-3.030575343540699,0.0,-0.0628208709805751,31.0,2850.0,18.0,118.79,1,0.0012789356465248147,0,0.0,0.0
65,9.224429539271764,9.238559333645568,-0.014129794373804572,-0.015101190238931233,-3.1759702721420204,0.0,-0.06615538349651828,31.0,2850.0,18.0,118.79,1,-0.014129794373804572,0,0.0,0.0
66,9.217435564313616,9.24292568284638,-0.025490118532763617,-0.026461514397890278,-3.3169988515425306,0.0,-0.06178903429570681,31.0,2850.0,18.0,118.79,1,-0.025490118532763617,0,0.0,0.0
